Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,266,116613,734,100866,1000,217479
1,D,50606,57436,70825,48473,121431,105909
2,R,50276,58585,71922,48012,122198,106597
3,V,98414,468,130918,1061,229332,1529
4,A,47561,60063,63399,53138,110960,113201
5,L,48463,59397,64410,52660,112873,112057
