,Measurement Basis,TT,TR,RT,RR
0,H,14354,68497,15417,56967
1,D,70115,14673,80602,9944
2,R,29808,53150,50239,31982
3,V,70496,14418,81977,9175
4,A,14953,67496,14951,58976
5,L,54930,29036,45683,35679
