data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-31--06h-03m-47s,87,1.0,2.0,1.0,0.0,4.0
2025-05-31--06h-03m-47s,88,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,89,0.5,1.0,0.0,0.5,2.0
2025-05-31--06h-03m-47s,90,1.0,0.0,0.0,0.0,1.0
2025-05-31--06h-03m-47s,91,0.0,1.0,2.0,0.0,3.0
2025-05-31--06h-03m-47s,92,1.0,0.0,0.0,0.0,1.0
2025-05-31--06h-03m-47s,93,0.0,1.0,0.0,0.0,1.0
2025-05-31--06h-03m-47s,94,1.0,2.0,1.0,0.0,4.0
2025-05-31--06h-03m-47s,95,0.5,2.0,2.0,0.0,4.5
2025-05-31--06h-03m-47s,97,0.0,2.0,1.0,0.0,3.0
2025-05-31--06h-03m-47s,98,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,99,0.0,2.0,0.0,0.0,2.0
2025-05-31--06h-03m-47s,100,1.5,1.0,0.0,0.0,2.5
2025-05-31--06h-03m-47s,101,1.5,0.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,102,1.0,1.0,0.0,0.0,2.0
2025-05-31--06h-03m-47s,103,1.0,0.0,1.0,0.0,2.0
2025-05-31--06h-03m-47s,104,1.0,0.0,0.0,0.0,1.0
2025-05-31--06h-03m-47s,105,1.0,2.0,0.0,0.0,3.0
2025-05-31--06h-03m-47s,106,1.5,0.0,1.0,0.0,2.5
2025-05-31--06h-03m-47s,107,1.0,1.0,0.0,0.0,2.0
2025-05-31--06h-03m-47s,108,1.5,3.0,3.0,0.0,7.5
2025-05-31--06h-03m-47s,109,0.5,1.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,110,1.0,2.0,1.0,0.0,4.0
2025-05-31--06h-03m-47s,111,0.5,1.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,112,1.5,0.0,1.0,0.0,2.5
2025-05-31--06h-03m-47s,113,1.5,1.0,0.0,0.0,2.5
2025-05-31--06h-03m-47s,114,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,115,1.5,1.0,0.0,0.0,2.5
2025-05-31--06h-03m-47s,116,2.5,0.0,1.0,0.0,3.5
2025-05-31--06h-03m-47s,117,2.0,1.0,0.0,0.0,3.0
2025-05-31--06h-03m-47s,118,0.5,3.0,0.0,0.0,3.5
2025-05-31--06h-03m-47s,119,0.5,0.0,1.0,0.0,1.5
2025-05-31--06h-03m-47s,121,1.0,2.0,1.0,0.0,4.0
2025-05-31--06h-03m-47s,122,2.0,2.0,2.0,0.0,6.0
2025-05-31--06h-03m-47s,123,1.0,1.0,0.0,0.0,2.0
