data_dir,C',SB,VV,HH,N
2025-06-19--17h-57m-00s,35.0,0.0,120.0,5.0,160.0
2025-06-19--17h-57m-00s,34.0,0.0,122.0,4.0,160.0
2025-06-19--17h-57m-00s,36.0,0.0,121.0,3.0,160.0
2025-06-19--17h-57m-00s,37.0,1.0,120.0,2.0,160.0
2025-06-19--17h-57m-00s,34.0,1.0,122.0,3.0,160.0
2025-06-19--17h-57m-00s,42.0,2.0,109.0,7.0,160.0
2025-06-19--17h-57m-00s,45.0,1.0,111.0,3.0,160.0
2025-06-19--17h-57m-00s,47.0,0.0,108.0,5.0,160.0
2025-06-19--17h-57m-00s,32.0,2.0,123.0,3.0,160.0
2025-06-19--17h-57m-00s,35.0,0.0,125.0,0.0,160.0
2025-06-19--17h-57m-00s,36.0,0.0,119.0,5.0,160.0
2025-06-19--17h-57m-00s,33.0,0.0,122.0,5.0,160.0
2025-06-19--17h-57m-00s,41.0,0.0,115.0,4.0,160.0
2025-06-19--17h-57m-00s,31.0,1.0,126.0,2.0,160.0
2025-06-19--17h-57m-00s,30.0,0.0,127.0,3.0,160.0
2025-06-19--17h-57m-00s,39.0,1.0,118.0,2.0,160.0
2025-06-19--17h-57m-00s,25.0,0.0,131.0,4.0,160.0
2025-06-19--17h-57m-00s,31.0,0.0,124.0,5.0,160.0
2025-06-19--17h-57m-00s,47.0,1.0,110.0,2.0,160.0
2025-06-19--17h-57m-00s,39.0,0.0,120.0,1.0,160.0
2025-06-19--17h-57m-00s,36.0,0.0,117.0,7.0,160.0
2025-06-19--17h-57m-00s,33.0,0.0,122.0,5.0,160.0
2025-06-19--17h-57m-00s,46.0,1.0,111.0,2.0,160.0
2025-06-19--17h-57m-00s,39.0,0.0,119.0,2.0,160.0
2025-06-19--17h-57m-00s,39.0,0.0,121.0,0.0,160.0
2025-06-19--17h-57m-00s,34.0,1.0,123.0,2.0,160.0
2025-06-19--17h-57m-00s,40.0,0.0,114.0,6.0,160.0
2025-06-19--17h-57m-00s,31.0,0.0,126.0,3.0,160.0
2025-06-19--17h-57m-00s,39.0,0.0,118.0,3.0,160.0
