,Measurement Basis,TT,TR,RT,RR
0,H,32756,29258,27045,28004
1,D,25894,35359,35957,19971
2,R,860,59871,1669,53421
3,V,30196,31618,30315,25741
4,A,37510,24943,20490,35145
5,L,62297,1033,55114,1418
