,Measurement Basis,TT,TR,RT,RR
0,H,3116,74148,4601,60020
1,D,46516,24795,62899,19620
2,R,29116,45519,50123,30612
3,V,63677,3785,85928,2747
4,A,20961,53869,28610,44843
5,L,39123,33833,44250,34341
