,Measurement Basis,TT,TR,RT,RR
0,H,33118,31378,34354,30344
1,D,64811,1058,57465,7517
2,R,39776,25821,51992,12687
3,V,32875,31635,33286,31770
4,A,889,61451,7320,58193
5,L,26956,37709,12549,53380
