Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32134,32432,31865,33845,63999,66277
1,D,26233,38400,11763,53808,37996,92208
2,R,65780,1369,57116,8211,122896,9580
3,V,35215,29976,31634,33707,66849,63683
4,A,40645,24449,51970,11816,92615,36265
5,L,1157,61548,8131,58235,9288,119783
