,Measurement Basis,TT,TR,RT,RR
0,H,33113,28094,28099,27248
1,D,39337,22846,22867,32822
2,R,61696,1710,56585,982
3,V,29779,32230,28311,27009
4,A,23169,37811,33820,21719
5,L,1519,58130,1022,53892
