angle,singles,coincidences
0.0,6774.0,1302
10.0,13631.0,2716
20.0,18868.0,4098
30.0,20495.0,4480
40.0,17713.0,3657
50.0,11478.0,2302
60.0,4780.0,887
70.0,525.0,76
80.0,1357.0,226
-33.86313752748332,7158.0,1473
-32.86313752748332,6403.0,1206
-31.863137527483318,5803.0,1126
-30.863137527483318,5267.0,1033
-29.863137527483318,4607.0,900
-28.863137527483318,3953.0,778
-27.863137527483318,3339.0,590
-26.863137527483318,2836.0,506
-25.863137527483318,2411.0,438
-24.863137527483318,1924.0,354
-23.863137527483318,1554.0,255
-22.863137527483318,1301.0,242
-21.863137527483318,985.0,161
-20.863137527483318,638.0,90
-19.863137527483318,459.0,53
-18.863137527483318,324.0,32
-17.863137527483318,204.0,10
-16.863137527483318,169.0,3
-15.863137527483318,206.0,3
-14.863137527483318,295.0,16
