detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,repetition,coincidences,timestamp
9,12,H,H,0,0,2025-05-30--14h-04m-19s-302790
9,11,H,H,0,0,2025-05-30--14h-04m-19s-302790
9,10,H,H,0,0,2025-05-30--14h-04m-19s-302790
11,12,H,H,0,0,2025-05-30--14h-04m-19s-302790
10,12,H,H,0,0,2025-05-30--14h-04m-19s-302790
10,11,H,H,0,0,2025-05-30--14h-04m-19s-302790
1,9,H,H,0,0,2025-05-30--14h-04m-19s-302790
1,12,H,H,0,0,2025-05-30--14h-04m-19s-302790
1,11,H,H,0,0,2025-05-30--14h-04m-19s-302790
1,10,H,H,0,0,2025-05-30--14h-04m-19s-302790
1,4,H,H,0,0,2025-05-30--14h-04m-19s-302790
1,7,H,H,0,0,2025-05-30--14h-04m-19s-302790
1,2,H,H,0,0,2025-05-30--14h-04m-19s-302790
4,9,H,H,0,0,2025-05-30--14h-04m-19s-302790
4,12,H,H,0,0,2025-05-30--14h-04m-19s-302790
4,11,H,H,0,0,2025-05-30--14h-04m-19s-302790
4,10,H,H,0,0,2025-05-30--14h-04m-19s-302790
4,7,H,H,0,0,2025-05-30--14h-04m-19s-302790
7,9,H,H,0,0,2025-05-30--14h-04m-19s-302790
7,12,H,H,0,0,2025-05-30--14h-04m-19s-302790
7,11,H,H,0,0,2025-05-30--14h-04m-19s-302790
7,10,H,H,0,0,2025-05-30--14h-04m-19s-302790
2,9,H,H,0,0,2025-05-30--14h-04m-19s-302790
2,12,H,H,0,0,2025-05-30--14h-04m-19s-302790
2,11,H,H,0,0,2025-05-30--14h-04m-19s-302790
2,10,H,H,0,0,2025-05-30--14h-04m-19s-302790
2,4,H,H,0,0,2025-05-30--14h-04m-19s-302790
2,7,H,H,0,0,2025-05-30--14h-04m-19s-302790
9,12,H,H,2,0,2025-05-30--14h-04m-19s-330131
9,11,H,H,2,0,2025-05-30--14h-04m-19s-330131
9,10,H,H,2,0,2025-05-30--14h-04m-19s-330131
11,12,H,H,2,0,2025-05-30--14h-04m-19s-330131
10,12,H,H,2,0,2025-05-30--14h-04m-19s-330131
10,11,H,H,2,0,2025-05-30--14h-04m-19s-330131
1,9,H,H,2,0,2025-05-30--14h-04m-19s-330131
1,12,H,H,2,0,2025-05-30--14h-04m-19s-330131
1,11,H,H,2,0,2025-05-30--14h-04m-19s-330131
1,10,H,H,2,0,2025-05-30--14h-04m-19s-330131
1,4,H,H,2,0,2025-05-30--14h-04m-19s-330131
1,7,H,H,2,0,2025-05-30--14h-04m-19s-330131
1,2,H,H,2,0,2025-05-30--14h-04m-19s-330131
4,9,H,H,2,0,2025-05-30--14h-04m-19s-330131
4,12,H,H,2,0,2025-05-30--14h-04m-19s-330131
4,11,H,H,2,0,2025-05-30--14h-04m-19s-330131
4,10,H,H,2,0,2025-05-30--14h-04m-19s-330131
4,7,H,H,2,0,2025-05-30--14h-04m-19s-330131
7,9,H,H,2,0,2025-05-30--14h-04m-19s-330131
7,12,H,H,2,0,2025-05-30--14h-04m-19s-330131
7,11,H,H,2,0,2025-05-30--14h-04m-19s-330131
7,10,H,H,2,0,2025-05-30--14h-04m-19s-330131
2,9,H,H,2,0,2025-05-30--14h-04m-19s-330131
2,12,H,H,2,0,2025-05-30--14h-04m-19s-330131
2,11,H,H,2,0,2025-05-30--14h-04m-19s-330131
2,10,H,H,2,0,2025-05-30--14h-04m-19s-330131
2,4,H,H,2,0,2025-05-30--14h-04m-19s-330131
2,7,H,H,2,0,2025-05-30--14h-04m-19s-330131
9,12,H,H,3,0,2025-05-30--14h-04m-19s-340464
9,11,H,H,3,0,2025-05-30--14h-04m-19s-340464
9,10,H,H,3,0,2025-05-30--14h-04m-19s-340464
11,12,H,H,3,0,2025-05-30--14h-04m-19s-340464
10,12,H,H,3,0,2025-05-30--14h-04m-19s-340464
10,11,H,H,3,0,2025-05-30--14h-04m-19s-340464
1,9,H,H,3,0,2025-05-30--14h-04m-19s-340464
1,12,H,H,3,0,2025-05-30--14h-04m-19s-340464
1,11,H,H,3,0,2025-05-30--14h-04m-19s-340464
1,10,H,H,3,0,2025-05-30--14h-04m-19s-340464
1,4,H,H,3,0,2025-05-30--14h-04m-19s-340464
1,7,H,H,3,0,2025-05-30--14h-04m-19s-340464
1,2,H,H,3,0,2025-05-30--14h-04m-19s-340464
4,9,H,H,3,0,2025-05-30--14h-04m-19s-340464
4,12,H,H,3,0,2025-05-30--14h-04m-19s-340464
4,11,H,H,3,0,2025-05-30--14h-04m-19s-340464
4,10,H,H,3,0,2025-05-30--14h-04m-19s-340464
4,7,H,H,3,0,2025-05-30--14h-04m-19s-340464
7,9,H,H,3,0,2025-05-30--14h-04m-19s-340464
