data_dir,C,DB_H,DB_V,SB,N
2025-05-31--21h-06m-53s,7.0,147.0,3.0,44.0,201.0
2025-05-31--21h-06m-53s,2.5,148.0,3.0,43.5,197.0
2025-05-31--21h-06m-53s,5.0,153.0,4.0,37.5,199.5
2025-05-31--21h-06m-53s,4.5,146.0,1.0,47.5,199.0
2025-05-31--21h-06m-53s,3.0,146.0,6.0,42.0,197.0
2025-05-31--21h-06m-53s,4.5,151.0,3.0,41.0,199.5
2025-05-31--21h-06m-53s,4.0,146.0,3.0,46.5,199.5
2025-05-31--21h-06m-53s,5.0,140.0,3.0,50.5,198.5
2025-05-31--21h-06m-53s,1.5,158.0,6.0,32.0,197.5
2025-05-31--21h-06m-53s,3.5,153.0,4.0,38.5,199.0
2025-05-31--21h-06m-53s,4.5,140.0,6.0,49.0,199.5
2025-05-31--21h-06m-53s,6.5,148.0,4.0,42.5,201.0
2025-05-31--21h-06m-53s,4.5,146.0,4.0,48.0,202.5
2025-05-31--21h-06m-53s,3.5,154.0,8.0,33.5,199.0
2025-05-31--21h-06m-53s,3.0,152.0,4.0,39.5,198.5
2025-05-31--21h-06m-53s,2.0,148.0,4.0,44.0,198.0
2025-05-31--21h-06m-53s,2.0,153.0,4.0,41.0,200.0
2025-05-31--21h-06m-53s,5.5,150.0,4.0,40.5,200.0
2025-05-31--21h-06m-53s,3.0,149.0,4.0,43.0,199.0
2025-05-31--21h-06m-53s,3.5,154.0,3.0,38.5,199.0
2025-05-31--21h-06m-53s,3.0,154.0,3.0,38.5,198.5
2025-05-31--21h-06m-53s,4.5,152.0,2.0,39.5,198.0
2025-05-31--21h-06m-53s,4.5,140.0,6.0,49.0,199.5
2025-05-31--21h-06m-53s,4.0,148.0,4.0,43.5,199.5
2025-05-31--21h-06m-53s,4.5,140.0,7.0,46.0,197.5
2025-05-31--21h-06m-53s,4.0,150.0,3.0,41.5,198.5
2025-05-31--21h-06m-53s,6.5,151.0,4.0,38.0,199.5
2025-05-31--21h-06m-53s,5.0,147.0,4.0,43.0,199.0
2025-05-31--21h-06m-53s,2.0,146.0,4.0,47.5,199.5
2025-05-31--21h-06m-53s,7.0,131.0,9.0,52.0,199.0
2025-05-31--21h-06m-53s,6.0,153.0,5.0,39.5,203.5
2025-05-31--21h-06m-53s,5.0,140.0,9.0,47.5,201.5
2025-05-31--21h-06m-53s,3.5,144.0,5.0,44.5,197.0
2025-05-31--21h-06m-53s,4.0,154.0,5.0,34.5,197.5
2025-05-31--21h-06m-53s,3.5,152.0,6.0,40.0,201.5
2025-05-31--21h-06m-53s,4.0,143.0,5.0,48.0,200.0
2025-05-31--21h-06m-53s,4.0,147.0,5.0,42.0,198.0
2025-05-31--21h-06m-53s,2.5,147.0,7.0,42.5,199.0
2025-05-31--21h-06m-53s,2.0,150.0,4.0,46.0,202.0
