data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-06-03--16h-47m-52s,4.0,25.0,0.0,11.0,40.0,,0.8956647938578649,0.5426391022496527
2025-06-03--16h-47m-52s,2.0,22.0,1.0,15.0,40.0,,1.0180812136981134,0.3501057777671455
2025-06-03--16h-47m-52s,4.0,21.0,0.0,15.0,40.0,,1.0180812136981134,0.4766796115897702
2025-06-03--16h-47m-52s,0.0,22.0,2.0,16.0,40.0,,1.0471975511965976,0.0
2025-06-03--16h-47m-52s,2.0,24.0,1.0,13.0,40.0,,0.9581921787462742,0.37379217483451044
2025-06-03--16h-47m-52s,0.0,26.0,3.0,11.0,40.0,,0.9581921787462742,0.0
2025-06-03--16h-47m-52s,1.0,24.0,1.0,14.0,40.0,,0.9581921787462742,0.2611574109030243
2025-06-03--16h-47m-52s,1.0,22.0,3.0,14.0,40.0,,1.0758322950780022,0.2611574109030243
2025-06-03--16h-47m-52s,2.0,21.0,1.0,16.0,40.0,,1.0471975511965976,0.339836909454122
2025-06-03--16h-47m-52s,1.0,25.0,6.0,8.0,40.0,,1.0758322950780022,0.339836909454122
2025-06-03--16h-47m-52s,1.0,21.0,2.0,16.0,40.0,,1.0758322950780022,0.24497866312686414
2025-06-03--16h-47m-52s,0.0,18.0,3.0,19.0,40.0,,1.1863995522992576,0.0
2025-06-03--16h-47m-52s,1.0,26.0,0.0,13.0,40.0,,0.863211890069541,0.2705497629785729
2025-06-03--16h-47m-52s,2.0,23.0,3.0,12.0,40.0,,1.0471975511965976,0.38759668665518066
2025-06-03--16h-47m-52s,2.0,28.0,1.0,9.0,40.0,,0.8298316245918765,0.4405106630046985
2025-06-03--16h-47m-52s,0.0,25.0,1.0,14.0,40.0,,0.9272952180016122,0.0
2025-06-03--16h-47m-52s,2.0,23.0,1.0,14.0,40.0,,0.9884320889261531,0.3613671239067078
2025-06-03--16h-47m-52s,2.0,21.0,6.0,11.0,40.0,,1.1863995522992576,0.4030570744661132
2025-06-03--16h-47m-52s,3.0,25.0,1.0,11.0,40.0,,0.9272952180016122,0.4812753739423435
2025-06-03--16h-47m-52s,2.0,22.0,2.0,14.0,40.0,,1.0471975511965976,0.3613671239067078
2025-06-03--16h-47m-52s,3.0,24.0,1.0,12.0,40.0,,0.9581921787462742,0.4636476090008061
2025-06-03--16h-47m-52s,0.0,24.0,1.0,15.0,40.0,,0.9581921787462742,0.0
2025-06-03--16h-47m-52s,1.0,21.0,3.0,15.0,40.0,,1.1040309877476002,0.25268025514207865
2025-06-03--16h-47m-52s,1.0,24.0,3.0,12.0,40.0,,1.0180812136981134,0.28103490150281357
2025-06-03--16h-47m-52s,2.0,24.0,2.0,12.0,40.0,,0.9884320889261531,0.38759668665518066
2025-06-03--16h-47m-52s,0.0,27.0,0.0,13.0,40.0,,0.8298316245918765,0.0
2025-06-03--16h-47m-52s,2.0,27.0,3.0,8.0,40.0,,0.9272952180016122,0.4636476090008061
2025-06-03--16h-47m-52s,1.0,24.0,4.0,11.0,40.0,,1.0471975511965976,0.2928427717285755
2025-06-03--16h-47m-52s,1.0,24.0,2.0,13.0,40.0,,0.9884320889261531,0.2705497629785729
2025-06-03--16h-47m-52s,1.0,24.0,2.0,13.0,40.0,,0.9884320889261531,0.2705497629785729
2025-06-03--16h-47m-52s,1.0,21.0,0.0,18.0,40.0,,1.0180812136981134,0.23147736397017837
2025-06-03--16h-47m-52s,0.0,21.0,2.0,17.0,40.0,,1.0758322950780022,0.0
2025-06-03--16h-47m-52s,1.0,25.0,2.0,12.0,40.0,,0.9581921787462742,0.28103490150281357
