angle,singles,coincidences
0.0,6702.0,1384
10.0,13613.0,2821
20.0,19006.0,4032
30.0,20517.0,4437
40.0,17744.0,3817
-93.99004664485793,4253.0,802
-91.99004664485793,5360.0,1007
-89.99004664485793,6552.0,1276
-87.99004664485793,8085.0,1582
-85.99004664485793,9657.0,1954
-83.99004664485793,10890.0,2163
-81.99004664485793,12501.0,2477
-79.99004664485793,13524.0,2718
-77.99004664485793,14917.0,3060
-75.99004664485793,15926.0,3326
-3.990046644857933,4175.0,789
1.0099533551420672,7369.0,1402
6.009953355142067,10946.0,2285
11.009953355142066,14289.0,2941
