Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,74733,72130,86244,63609,160977,135739
1,D,46965,101715,20600,117430,67565,219145
2,R,140912,6000,138484,25354,279396,31354
3,V,70560,77697,77605,71130,148165,148827
4,A,97389,48146,146111,17277,243500,65423
5,L,5425,143489,31049,108839,36474,252328
