detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
9,12,DB_H,1,0,2025-05-23--16h-56m-41s-426852
9,11,SB,1,0,2025-05-23--16h-56m-41s-426852
9,10,SB,1,0,2025-05-23--16h-56m-41s-426852
11,12,SB,1,0,2025-05-23--16h-56m-41s-426852
10,12,SB,1,0,2025-05-23--16h-56m-41s-426852
10,11,DB_V,1,0,2025-05-23--16h-56m-41s-426852
1,9,C,1,0,2025-05-23--16h-56m-41s-426852
1,12,C,1,0,2025-05-23--16h-56m-41s-426852
1,11,C,1,0,2025-05-23--16h-56m-41s-426852
1,10,C,1,0,2025-05-23--16h-56m-41s-426852
1,4,DB_H,1,1,2025-05-23--16h-56m-41s-426852
1,7,SB,1,0,2025-05-23--16h-56m-41s-426852
1,2,SB,1,0,2025-05-23--16h-56m-41s-426852
4,9,C,1,0,2025-05-23--16h-56m-41s-426852
4,12,C,1,0,2025-05-23--16h-56m-41s-426852
4,11,C,1,0,2025-05-23--16h-56m-41s-426852
4,10,C,1,0,2025-05-23--16h-56m-41s-426852
4,7,SB,1,0,2025-05-23--16h-56m-41s-426852
7,9,C,1,0,2025-05-23--16h-56m-41s-426852
7,12,C,1,0,2025-05-23--16h-56m-41s-426852
7,11,C,1,0,2025-05-23--16h-56m-41s-426852
7,10,C,1,0,2025-05-23--16h-56m-41s-426852
2,9,C,1,0,2025-05-23--16h-56m-41s-426852
2,12,C,1,0,2025-05-23--16h-56m-41s-426852
2,11,C,1,0,2025-05-23--16h-56m-41s-426852
2,10,C,1,0,2025-05-23--16h-56m-41s-426852
2,4,SB,1,0,2025-05-23--16h-56m-41s-426852
2,7,DB_V,1,1,2025-05-23--16h-56m-41s-426852
9,12,DB_H,3,1,2025-05-23--16h-56m-41s-463993
9,11,SB,3,0,2025-05-23--16h-56m-41s-463993
9,10,SB,3,0,2025-05-23--16h-56m-41s-463993
11,12,SB,3,0,2025-05-23--16h-56m-41s-463993
10,12,SB,3,0,2025-05-23--16h-56m-41s-463993
10,11,DB_V,3,0,2025-05-23--16h-56m-41s-463993
1,9,C,3,0,2025-05-23--16h-56m-41s-463993
1,12,C,3,0,2025-05-23--16h-56m-41s-463993
1,11,C,3,0,2025-05-23--16h-56m-41s-463993
1,10,C,3,0,2025-05-23--16h-56m-41s-463993
