Unnamed: 0,basis,TT,TR,RT,RR,T,R
0,HH,5478,5020,5749,5181,11227,10201
1,HD,5518,5510,5694,4725,11212,10235
2,HR,4363,4194,6903,6026,11266,10220
3,DH,5503,5238,6178,4830,11681,10068
4,DD,1436,9461,10421,391,11857,9852
5,DR,2305,6279,9615,3634,11920,9913
6,RH,4605,6158,4758,6325,9363,12483
7,RD,4785,6509,4499,6080,9284,12589
8,RR,3671,4924,5504,7507,9175,12431
