,Measurement Basis,TT,TR,RT,RR
0,H,20794,128012,23167,110250
1,D,23209,127869,36751,104202
2,R,74928,74787,61448,84840
3,V,126330,22344,139811,22246
4,A,124441,23474,136516,26043
5,L,73392,75975,113187,43547
