Unnamed: 0,basis,TT,TR,RT,RR,T,R
0,HH,68,10068,11986,88,12054,10156
1,HD,6471,4591,5905,5387,12376,9978
2,HR,6448,4480,5659,5265,12107,9745
3,DH,5251,5019,6026,5773,11277,10792
4,DD,5475,5213,5719,5361,11194,10574
5,DR,5559,5379,5640,5438,11199,10817
6,RH,5227,4871,6012,5824,11239,10695
7,RD,5520,5121,5728,5287,11248,10408
8,RR,5663,5268,5648,5353,11311,10621
