,Measurement Basis,TT,TR,RT,RR
0,H,32682,28839,27679,28105
1,D,25011,36293,35434,20431
2,R,1074,59035,1454,52944
3,V,30177,31740,30257,25684
4,A,37732,23597,21452,33736
5,L,61863,1200,55280,1182
