,Measurement Basis,TT,TR,RT,RR
0,H,33689,31162,34665,30675
1,D,65722,1065,57534,7597
2,R,39652,25686,53028,12948
3,V,33603,31937,33301,32547
4,A,898,61127,7367,58435
5,L,27049,37477,12548,53272
