detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,repetition,coincidences,timestamp
9,12,H,H,1,0,2025-05-30--12h-16m-32s-410219
9,11,H,H,1,0,2025-05-30--12h-16m-32s-410219
9,10,H,H,1,0,2025-05-30--12h-16m-32s-410219
11,12,H,H,1,0,2025-05-30--12h-16m-32s-410219
10,12,H,H,1,0,2025-05-30--12h-16m-32s-410219
10,11,H,H,1,0,2025-05-30--12h-16m-32s-410219
1,9,H,H,1,0,2025-05-30--12h-16m-32s-410219
1,12,H,H,1,0,2025-05-30--12h-16m-32s-410219
1,11,H,H,1,0,2025-05-30--12h-16m-32s-410219
1,10,H,H,1,0,2025-05-30--12h-16m-32s-410219
1,4,H,H,1,0,2025-05-30--12h-16m-32s-410219
1,7,H,H,1,0,2025-05-30--12h-16m-32s-410219
1,2,H,H,1,0,2025-05-30--12h-16m-32s-410219
4,9,H,H,1,0,2025-05-30--12h-16m-32s-410219
4,12,H,H,1,0,2025-05-30--12h-16m-32s-410219
4,11,H,H,1,0,2025-05-30--12h-16m-32s-410219
4,10,H,H,1,0,2025-05-30--12h-16m-32s-410219
4,7,H,H,1,0,2025-05-30--12h-16m-32s-410219
7,9,H,H,1,0,2025-05-30--12h-16m-32s-410219
7,12,H,H,1,0,2025-05-30--12h-16m-32s-410219
7,11,H,H,1,0,2025-05-30--12h-16m-32s-410219
7,10,H,H,1,0,2025-05-30--12h-16m-32s-410219
2,9,H,H,1,0,2025-05-30--12h-16m-32s-410219
2,12,H,H,1,0,2025-05-30--12h-16m-32s-410219
2,11,H,H,1,0,2025-05-30--12h-16m-32s-410219
2,10,H,H,1,0,2025-05-30--12h-16m-32s-410219
2,4,H,H,1,0,2025-05-30--12h-16m-32s-410219
2,7,H,H,1,0,2025-05-30--12h-16m-32s-410219
9,12,H,H,6,0,2025-05-30--12h-16m-32s-512149
9,11,H,H,6,0,2025-05-30--12h-16m-32s-512149
9,10,H,H,6,0,2025-05-30--12h-16m-32s-512149
11,12,H,H,6,0,2025-05-30--12h-16m-32s-512149
10,12,H,H,6,0,2025-05-30--12h-16m-32s-512149
10,11,H,H,6,0,2025-05-30--12h-16m-32s-512149
1,9,H,H,6,0,2025-05-30--12h-16m-32s-512149
1,12,H,H,6,0,2025-05-30--12h-16m-32s-512149
1,11,H,H,6,0,2025-05-30--12h-16m-32s-512149
1,10,H,H,6,0,2025-05-30--12h-16m-32s-512149
1,4,H,H,6,1,2025-05-30--12h-16m-32s-512149
1,7,H,H,6,0,2025-05-30--12h-16m-32s-512149
1,2,H,H,6,0,2025-05-30--12h-16m-32s-512149
4,9,H,H,6,0,2025-05-30--12h-16m-32s-512149
4,12,H,H,6,0,2025-05-30--12h-16m-32s-512149
4,11,H,H,6,0,2025-05-30--12h-16m-32s-512149
4,10,H,H,6,0,2025-05-30--12h-16m-32s-512149
4,7,H,H,6,0,2025-05-30--12h-16m-32s-512149
7,9,H,H,6,0,2025-05-30--12h-16m-32s-512149
7,12,H,H,6,0,2025-05-30--12h-16m-32s-512149
7,11,H,H,6,0,2025-05-30--12h-16m-32s-512149
7,10,H,H,6,0,2025-05-30--12h-16m-32s-512149
2,9,H,H,6,0,2025-05-30--12h-16m-32s-512149
2,12,H,H,6,0,2025-05-30--12h-16m-32s-512149
2,11,H,H,6,0,2025-05-30--12h-16m-32s-512149
2,10,H,H,6,0,2025-05-30--12h-16m-32s-512149
2,4,H,H,6,0,2025-05-30--12h-16m-32s-512149
