,Measurement Basis,TT,TR,RT,RR
0,H,32416,32401,31339,34491
1,D,984,62439,7281,58874
2,R,27417,37380,12809,53071
3,V,34715,30710,31528,34186
4,A,66200,979,57702,7455
5,L,39932,25980,52107,13112
