angle,singles,coincidences
0.0,1256.0,10
9.0,2619.0,294
18.0,7568.0,1254
27.0,13823.0,2586
36.0,18863.0,3856
45.0,20894.0,4353
54.0,19674.0,3965
63.0,15269.0,2859
72.0,9340.0,1642
81.0,3992.0,546
90.0,1216.0,13
99.0,2767.0,329
108.0,7816.0,1274
117.0,13477.0,2532
126.0,18536.0,3829
135.0,20903.0,4303
144.0,19634.0,4027
153.0,15134.0,2939
162.0,9577.0,1722
171.0,3882.0,573
180.0,1039.0,13
-3.7073675658415084,1291.0,31
-2.7073675658415084,1572.0,85
-1.7073675658415084,1350.0,56
-0.7073675658415084,1267.0,30
0.2926324341584916,1175.0,9
1.2926324341584916,1186.0,3
2.2926324341584916,1111.0,5
3.2926324341584916,1266.0,21
4.292632434158492,1399.0,39
5.292632434158492,1566.0,88
6.292632434158492,1742.0,108
41.29263243415849,20482.0,4342
42.959299100825156,20375.0,4175
44.62596576749183,20491.0,4216
46.29263243415849,20782.0,4253
47.959299100825156,21003.0,4344
49.62596576749183,21026.0,4364
51.29263243415849,20273.0,4199
