,Measurement Basis,TT,TR,RT,RR
0,H,20976,97724,21114,82150
1,D,82137,38477,71096,48488
2,R,99618,19985,118156,12432
3,V,99228,21511,113800,16322
4,A,37685,82618,66738,51237
5,L,20172,99802,20100,85118
