data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-29--01h-41m-15s,83,0.5,0.0,3.0,0.5,4.0
2025-05-29--01h-41m-15s,84,0.0,0.0,0.0,1.0,1.0
2025-05-29--01h-41m-15s,85,0.0,0.0,3.0,0.5,3.5
2025-05-29--01h-41m-15s,86,0.0,1.0,2.0,0.5,3.5
2025-05-29--01h-41m-15s,87,0.0,0.0,5.0,0.0,5.0
2025-05-29--01h-41m-15s,88,0.5,0.0,4.0,0.5,5.0
2025-05-29--01h-41m-15s,89,0.0,0.0,4.0,1.5,5.5
2025-05-29--01h-41m-15s,90,0.0,0.0,5.0,0.5,5.5
2025-05-29--01h-41m-15s,91,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,92,0.0,0.0,1.0,2.0,3.0
2025-05-29--01h-41m-15s,93,0.0,0.0,1.0,0.0,1.0
2025-05-29--01h-41m-15s,94,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,95,0.0,0.0,7.0,0.0,7.0
2025-05-29--01h-41m-15s,96,0.0,0.0,9.0,0.0,9.0
2025-05-29--01h-41m-15s,97,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,98,0.0,0.0,6.0,0.5,6.5
2025-05-29--01h-41m-15s,99,0.0,0.0,6.0,1.5,7.5
2025-05-29--01h-41m-15s,100,0.0,0.0,7.0,0.5,7.5
2025-05-29--01h-41m-15s,101,0.0,0.0,1.0,1.5,2.5
2025-05-29--01h-41m-15s,102,0.0,0.0,3.0,1.5,4.5
2025-05-29--01h-41m-15s,103,0.0,0.0,1.0,0.5,1.5
2025-05-29--01h-41m-15s,104,0.0,0.0,7.0,0.0,7.0
2025-05-29--01h-41m-15s,105,0.0,0.0,6.0,0.5,6.5
2025-05-29--01h-41m-15s,106,0.0,0.0,1.0,0.0,1.0
2025-05-29--01h-41m-15s,107,0.0,0.0,3.0,1.0,4.0
2025-05-29--01h-41m-15s,108,0.0,0.0,5.0,1.0,6.0
2025-05-29--01h-41m-15s,109,0.0,0.0,2.0,1.0,3.0
2025-05-29--01h-41m-15s,110,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,111,0.0,0.0,6.0,0.5,6.5
2025-05-29--01h-41m-15s,112,0.0,0.0,3.0,1.0,4.0
2025-05-29--01h-41m-15s,113,0.5,0.0,4.0,1.5,6.0
2025-05-29--01h-41m-15s,114,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,115,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,116,0.0,0.0,1.0,0.5,1.5
2025-05-29--01h-41m-15s,117,0.0,0.0,4.0,0.0,4.0
2025-05-29--01h-41m-15s,118,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,119,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,120,1.0,0.0,2.0,0.0,3.0
2025-05-29--01h-41m-15s,121,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,122,0.0,0.0,2.0,1.5,3.5
2025-05-29--01h-41m-15s,123,0.0,0.0,4.0,0.0,4.0
2025-05-29--01h-41m-15s,124,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,125,0.5,0.0,1.0,1.5,3.0
2025-05-29--01h-41m-15s,126,0.0,0.0,4.0,2.0,6.0
2025-05-29--01h-41m-15s,127,0.5,0.0,2.0,1.0,3.5
2025-05-29--01h-41m-15s,128,0.5,0.0,6.0,1.5,8.0
2025-05-29--01h-41m-15s,129,0.0,0.0,2.0,1.5,3.5
2025-05-29--01h-41m-15s,130,0.0,0.0,5.0,1.5,6.5
2025-05-29--01h-41m-15s,131,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,132,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,133,0.5,0.0,3.0,0.5,4.0
2025-05-29--01h-41m-15s,134,0.0,0.0,4.0,1.0,5.0
