Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,33298,31741,32241,33788,65539,65529
1,D,1123,61486,7841,58250,8964,119736
2,R,26714,38240,12013,53317,38727,91557
3,V,33575,31473,31047,35100,64622,66573
4,A,65745,1164,56758,7851,122503,9015
5,L,40463,25327,52739,12207,93202,37534
