Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,121630,22428,143638,21670,265268,44098
1,D,55402,92283,38544,105392,93946,197675
2,R,120042,26044,119532,41768,239574,67812
3,V,21537,126671,22812,116677,44349,243348
4,A,88107,58351,127336,34733,215443,93084
5,L,24351,124111,45342,102093,69693,226204
