,Measurement Basis,TT,TR,RT,RR
0,H,33134,28933,28771,27318
1,D,61867,1321,56110,1099
2,R,24757,37464,35970,21099
3,V,30407,32020,31742,24834
4,A,1221,58533,1272,53696
5,L,38580,23422,21780,34058
