,Measurement Basis,TT,TR,RT,RR
0,H,140883,519,174602,931
1,D,72694,72703,86545,71167
2,R,70571,73794,83863,74026
3,V,236,145746,3809,131603
4,A,69404,74785,86719,70086
5,L,71032,73033,86392,70161
