data_dir,C',SB,VV,HH,N
2025-06-20--23h-02m-38s,33.0,0.0,122.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,120.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,117.0,2.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,114.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,2.0,115.0,2.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,124.0,3.0,160.0
2025-06-20--23h-02m-38s,34.0,3.0,120.0,3.0,160.0
2025-06-20--23h-02m-38s,27.0,1.0,128.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,119.0,5.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,114.0,5.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,118.0,3.0,160.0
2025-06-20--23h-02m-38s,34.0,1.0,121.0,4.0,160.0
2025-06-20--23h-02m-38s,38.0,3.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,119.0,5.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,117.0,5.0,160.0
2025-06-20--23h-02m-38s,44.0,2.0,112.0,2.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,119.0,5.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,128.0,1.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,125.0,2.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,113.0,4.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,115.0,5.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,112.0,4.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,118.0,5.0,160.0
2025-06-20--23h-02m-38s,39.0,1.0,115.0,5.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,113.0,5.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,115.0,3.0,160.0
2025-06-20--23h-02m-38s,47.0,0.0,108.0,5.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,115.0,6.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,118.0,5.0,160.0
