Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,349,114544,732,95579,1081,210123
1,D,58855,57212,70202,47075,129057,104287
2,R,61572,55988,75210,44663,136782,100651
3,V,115735,541,132387,1124,248122,1665
4,A,57053,58593,66796,49134,123849,107727
5,L,55974,61137,65191,51836,121165,112973
