angle,singles,coincidences
0.0,6680.0,1283
9.0,13079.0,2609
18.0,18494.0,3918
27.0,20404.0,4344
36.0,19166.0,4096
45.0,15020.0,2979
54.0,8632.0,1656
63.0,2976.0,559
72.0,229.0,14
81.0,1637.0,286
90.0,6823.0,1284
99.0,12978.0,2575
108.0,18397.0,3719
117.0,20719.0,4503
126.0,19402.0,4044
135.0,15155.0,3130
144.0,8745.0,1750
153.0,3155.0,608
162.0,250.0,15
171.0,1748.0,317
180.0,6654.0,1258
68.42051945993589,926.0,139
69.42051945993589,667.0,87
70.42051945993589,438.0,62
71.42051945993589,311.0,31
72.42051945993589,233.0,9
73.42051945993589,219.0,1
74.42051945993589,252.0,5
75.42051945993589,335.0,21
76.42051945993589,467.0,47
77.42051945993589,606.0,74
78.42051945993589,852.0,125
23.420519459935896,20022.0,4193
25.087186126602564,20321.0,4346
26.75385279326923,20416.0,4384
28.420519459935896,20188.0,4335
30.087186126602564,20185.0,4381
31.753852793269232,19781.0,4148
33.420519459935896,19586.0,4109
