,Measurement Basis,TT,TR,RT,RR
0,H,56948,55016,68888,48568
1,D,111896,3345,111610,16603
2,R,72436,41028,109671,17564
3,V,56082,55609,65539,50899
4,A,2852,108769,19279,92517
5,L,41595,70620,19725,89820
