detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir
10,11,2554324898768053760,2554324898768053760,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
2,10,2554324898770636288,2554324898770636288,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
7,10,2554324898776764416,2554324898776764416,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
2,11,2554324898785302528,2554324898785302528,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
10,11,2554324898787209216,2554324898787209216,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
10,11,2554324898802478592,2554324898802478592,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
2,7,2554324898805030912,2554324898805030912,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
7,10,2554324898806501376,2554324898806501376,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
2,10,2554324898814437376,2554324898814437376,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
10,11,2554324898818446848,2554324898818446848,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
7,11,2554324898844343808,2554324898844343808,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
2,11,2554324898850790400,2554324898850790400,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
10,11,2554324898852552192,2554324898852552192,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
1,7,2554324898863110144,2554324898863110144,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
2,10,2554324898883183104,2554324898883183104,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
2,11,2554324898894106112,2554324898894106112,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
2,10,2554324898894218752,2554324898894218752,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
2,10,2554324898895587328,2554324898895587328,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
10,11,2554324898897477120,2554324898897477120,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
10,11,2554324898897752064,2554324898897752064,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
7,10,2554324898900414464,2554324898900414464,2025-06-18--18h-04m-39s,H,H,2025-06-18--18h-04m-12s
