data_dir,C',HH,SB,VV,N
2025-06-18--18h-30m-34s,5.0,31.0,4.0,0.0,40.0
2025-06-18--18h-30m-34s,4.0,26.0,10.0,0.0,40.0
2025-06-18--18h-30m-34s,7.0,29.0,2.0,2.0,40.0
2025-06-18--18h-30m-34s,3.0,32.0,4.0,1.0,40.0
2025-06-18--18h-30m-34s,6.0,33.0,1.0,0.0,40.0
2025-06-18--18h-30m-34s,9.0,26.0,2.0,3.0,40.0
2025-06-18--18h-30m-34s,5.0,25.0,7.0,3.0,40.0
2025-06-18--18h-30m-34s,4.0,31.0,4.0,1.0,40.0
2025-06-18--18h-30m-34s,5.0,28.0,5.0,2.0,40.0
2025-06-18--18h-30m-34s,3.0,28.0,7.0,2.0,40.0
2025-06-18--18h-30m-34s,9.0,27.0,4.0,0.0,40.0
2025-06-18--18h-30m-34s,3.0,34.0,3.0,0.0,40.0
2025-06-18--18h-30m-34s,8.0,26.0,5.0,1.0,40.0
2025-06-18--18h-30m-34s,4.0,32.0,4.0,0.0,40.0
2025-06-18--18h-30m-34s,5.0,30.0,5.0,0.0,40.0
2025-06-18--18h-30m-34s,6.0,26.0,6.0,2.0,40.0
2025-06-18--18h-30m-34s,7.0,30.0,3.0,0.0,40.0
2025-06-18--18h-30m-34s,1.0,37.0,2.0,0.0,40.0
2025-06-18--18h-30m-34s,4.0,29.0,6.0,1.0,40.0
2025-06-18--18h-30m-34s,6.0,33.0,1.0,0.0,40.0
2025-06-18--18h-30m-34s,2.0,29.0,8.0,1.0,40.0
2025-06-18--18h-30m-34s,6.0,31.0,1.0,2.0,40.0
2025-06-18--18h-30m-34s,7.0,29.0,4.0,0.0,40.0
2025-06-18--18h-30m-34s,7.0,29.0,4.0,0.0,40.0
2025-06-18--18h-30m-34s,5.0,28.0,7.0,0.0,40.0
2025-06-18--18h-30m-34s,3.0,29.0,7.0,1.0,40.0
2025-06-18--18h-30m-34s,12.0,22.0,4.0,2.0,40.0
2025-06-18--18h-30m-34s,6.0,29.0,4.0,1.0,40.0
