Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,33666,28051,28448,27355,62114,55406
1,D,25094,36647,35633,20544,60727,57191
2,R,1044,59844,1354,53107,2398,112951
3,V,29365,32801,29568,26570,58933,59371
4,A,38102,23816,21538,34418,59640,58234
5,L,61856,1198,55417,1225,117273,2423
