,Measurement Basis,TT,TR,RT,RR
0,H,33666,28051,28448,27355
1,D,25094,36647,35633,20544
2,R,1044,59844,1354,53107
3,V,29365,32801,29568,26570
4,A,38102,23816,21538,34418
5,L,61856,1198,55417,1225
