data_dir,C,DB_H,DB_V,SB,N
2025-06-03--06h-08m-57s,35.0,55.0,47.0,64.0,201.0
2025-06-03--06h-08m-57s,32.5,47.0,50.0,71.5,201.0
2025-06-03--06h-08m-57s,30.5,56.0,42.0,72.5,201.0
2025-06-03--06h-08m-57s,39.0,52.0,49.0,61.0,201.0
2025-06-03--06h-08m-57s,30.5,65.0,45.0,59.5,200.0
2025-06-03--06h-08m-57s,33.5,50.0,45.0,71.5,200.0
2025-06-03--06h-08m-57s,35.0,52.0,54.0,58.0,199.0
2025-06-03--06h-08m-57s,34.5,53.0,50.0,63.0,200.5
2025-06-03--06h-08m-57s,29.5,55.0,49.0,66.0,199.5
2025-06-03--06h-08m-57s,31.5,48.0,53.0,68.0,200.5
2025-06-03--06h-08m-57s,32.5,51.0,50.0,65.5,199.0
2025-06-03--06h-08m-57s,35.0,61.0,42.0,61.5,199.5
2025-06-03--06h-08m-57s,31.0,52.0,49.0,68.0,200.0
2025-06-03--06h-08m-57s,30.5,59.0,44.0,68.5,202.0
2025-06-03--06h-08m-57s,27.0,54.0,58.0,59.5,198.5
2025-06-03--06h-08m-57s,39.0,51.0,46.0,64.5,200.5
2025-06-03--06h-08m-57s,33.0,57.0,47.0,63.0,200.0
2025-06-03--06h-08m-57s,32.0,49.0,56.0,63.5,200.5
2025-06-03--06h-08m-57s,32.5,50.0,60.0,58.0,200.5
2025-06-03--06h-08m-57s,30.0,57.0,54.0,60.0,201.0
2025-06-03--06h-08m-57s,30.0,55.0,51.0,64.0,200.0
2025-06-03--06h-08m-57s,26.5,52.0,52.0,69.0,199.5
2025-06-03--06h-08m-57s,27.0,53.0,55.0,64.0,199.0
2025-06-03--06h-08m-57s,33.0,48.0,53.0,65.5,199.5
2025-06-03--06h-08m-57s,27.5,63.0,46.0,64.0,200.5
2025-06-03--06h-08m-57s,35.5,55.0,57.0,52.5,200.0
2025-06-03--06h-08m-57s,31.0,54.0,53.0,60.5,198.5
2025-06-03--06h-08m-57s,29.5,64.0,52.0,56.0,201.5
2025-06-03--06h-08m-57s,36.5,56.0,42.0,65.0,199.5
2025-06-03--06h-08m-57s,29.5,56.0,51.0,62.0,198.5
2025-06-03--06h-08m-57s,34.5,53.0,55.0,56.0,198.5
2025-06-03--06h-08m-57s,30.5,58.0,42.0,69.5,200.0
2025-06-03--06h-08m-57s,32.0,56.0,57.0,55.0,200.0
2025-06-03--06h-08m-57s,24.5,60.0,61.0,55.0,200.5
2025-06-03--06h-08m-57s,33.5,57.0,40.0,68.5,199.0
2025-06-03--06h-08m-57s,33.0,47.0,54.0,66.0,200.0
2025-06-03--06h-08m-57s,34.0,55.0,47.0,65.0,201.0
2025-06-03--06h-08m-57s,31.5,59.0,49.0,60.5,200.0
2025-06-03--06h-08m-57s,32.0,45.0,51.0,70.5,198.5
2025-06-03--06h-08m-57s,30.0,56.0,48.0,65.5,199.5
2025-06-03--06h-08m-57s,30.0,62.0,59.0,49.0,200.0
2025-06-03--06h-08m-57s,25.5,49.0,64.0,62.0,200.5
2025-06-03--06h-08m-57s,34.5,54.0,52.0,60.0,200.5
2025-06-03--06h-08m-57s,33.5,61.0,54.0,50.5,199.0
2025-06-03--06h-08m-57s,29.5,49.0,60.0,62.5,201.0
2025-06-03--06h-08m-57s,33.0,50.0,53.0,64.0,200.0
2025-06-03--06h-08m-57s,33.5,44.0,57.0,65.0,199.5
2025-06-03--06h-08m-57s,27.0,60.0,63.0,51.0,201.0
2025-06-03--06h-08m-57s,31.0,58.0,47.0,64.5,200.5
2025-06-03--06h-08m-57s,30.0,62.0,46.0,61.5,199.5
2025-06-03--06h-08m-57s,33.5,58.0,43.0,66.0,200.5
2025-06-03--06h-08m-57s,33.5,53.0,55.0,59.5,201.0
2025-06-03--06h-08m-57s,30.0,57.0,55.0,58.0,200.0
2025-06-03--06h-08m-57s,27.5,57.0,52.0,62.5,199.0
2025-06-03--06h-08m-57s,26.0,56.0,59.0,57.0,198.0
2025-06-03--06h-08m-57s,31.0,50.0,57.0,63.0,201.0
2025-06-03--06h-08m-57s,24.0,64.0,45.0,67.5,200.5
2025-06-03--06h-08m-57s,38.0,46.0,50.0,67.0,201.0
2025-06-03--06h-08m-57s,28.0,53.0,50.0,68.0,199.0
2025-06-03--06h-08m-57s,35.5,53.0,51.0,60.0,199.5
2025-06-03--06h-08m-57s,31.0,57.0,54.0,60.0,202.0
2025-06-03--06h-08m-57s,23.5,65.0,43.0,67.0,198.5
2025-06-03--06h-08m-57s,32.0,63.0,41.0,63.5,199.5
2025-06-03--06h-08m-57s,38.0,52.0,54.0,55.5,199.5
2025-06-03--06h-08m-57s,39.0,50.0,45.0,64.5,198.5
2025-06-03--06h-08m-57s,30.0,44.0,57.0,69.5,200.5
2025-06-03--06h-08m-57s,36.0,47.0,50.0,67.0,200.0
2025-06-03--06h-08m-57s,32.5,55.0,58.0,53.5,199.0
2025-06-03--06h-08m-57s,28.5,56.0,50.0,66.5,201.0
