detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,repetition,coincidences,timestamp
9,12,H,H,0,0,2025-05-30--16h-26m-26s-809373
9,11,H,H,0,0,2025-05-30--16h-26m-26s-809373
9,10,H,H,0,0,2025-05-30--16h-26m-26s-809373
11,12,H,H,0,0,2025-05-30--16h-26m-26s-809373
10,12,H,H,0,0,2025-05-30--16h-26m-26s-809373
10,11,H,H,0,0,2025-05-30--16h-26m-26s-809373
1,9,H,H,0,0,2025-05-30--16h-26m-26s-809373
1,12,H,H,0,0,2025-05-30--16h-26m-26s-809373
1,11,H,H,0,0,2025-05-30--16h-26m-26s-809373
1,10,H,H,0,0,2025-05-30--16h-26m-26s-809373
1,4,H,H,0,0,2025-05-30--16h-26m-26s-809373
1,7,H,H,0,0,2025-05-30--16h-26m-26s-809373
1,2,H,H,0,0,2025-05-30--16h-26m-26s-809373
4,9,H,H,0,0,2025-05-30--16h-26m-26s-809373
4,12,H,H,0,0,2025-05-30--16h-26m-26s-809373
4,11,H,H,0,0,2025-05-30--16h-26m-26s-809373
4,10,H,H,0,0,2025-05-30--16h-26m-26s-809373
4,7,H,H,0,0,2025-05-30--16h-26m-26s-809373
7,9,H,H,0,0,2025-05-30--16h-26m-26s-809373
7,12,H,H,0,0,2025-05-30--16h-26m-26s-809373
7,11,H,H,0,0,2025-05-30--16h-26m-26s-809373
7,10,H,H,0,0,2025-05-30--16h-26m-26s-809373
2,9,H,H,0,0,2025-05-30--16h-26m-26s-809373
2,12,H,H,0,0,2025-05-30--16h-26m-26s-809373
2,11,H,H,0,0,2025-05-30--16h-26m-26s-809373
2,10,H,H,0,0,2025-05-30--16h-26m-26s-809373
2,4,H,H,0,0,2025-05-30--16h-26m-26s-809373
2,7,H,H,0,0,2025-05-30--16h-26m-26s-809373
9,12,H,H,1,1,2025-05-30--16h-26m-26s-826678
9,11,H,H,1,0,2025-05-30--16h-26m-26s-826678
9,10,H,H,1,0,2025-05-30--16h-26m-26s-826678
11,12,H,H,1,0,2025-05-30--16h-26m-26s-826678
10,12,H,H,1,0,2025-05-30--16h-26m-26s-826678
10,11,H,H,1,0,2025-05-30--16h-26m-26s-826678
1,9,H,H,1,0,2025-05-30--16h-26m-26s-826678
1,12,H,H,1,0,2025-05-30--16h-26m-26s-826678
1,11,H,H,1,0,2025-05-30--16h-26m-26s-826678
1,10,H,H,1,0,2025-05-30--16h-26m-26s-826678
1,4,H,H,1,2,2025-05-30--16h-26m-26s-826678
1,7,H,H,1,0,2025-05-30--16h-26m-26s-826678
1,2,H,H,1,0,2025-05-30--16h-26m-26s-826678
4,9,H,H,1,0,2025-05-30--16h-26m-26s-826678
4,12,H,H,1,0,2025-05-30--16h-26m-26s-826678
