detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,repetition,coincidences,timestamp
9,12,H,H,2,0,2025-05-30--16h-32m-30s-346601
9,11,H,H,2,0,2025-05-30--16h-32m-30s-346601
9,10,H,H,2,0,2025-05-30--16h-32m-30s-346601
11,12,H,H,2,0,2025-05-30--16h-32m-30s-346601
10,12,H,H,2,0,2025-05-30--16h-32m-30s-346601
10,11,H,H,2,0,2025-05-30--16h-32m-30s-346601
1,9,H,H,2,0,2025-05-30--16h-32m-30s-346601
1,12,H,H,2,0,2025-05-30--16h-32m-30s-346601
1,11,H,H,2,0,2025-05-30--16h-32m-30s-346601
1,10,H,H,2,0,2025-05-30--16h-32m-30s-346601
1,4,H,H,2,0,2025-05-30--16h-32m-30s-346601
1,7,H,H,2,0,2025-05-30--16h-32m-30s-346601
1,2,H,H,2,0,2025-05-30--16h-32m-30s-346601
4,9,H,H,2,0,2025-05-30--16h-32m-30s-346601
4,12,H,H,2,0,2025-05-30--16h-32m-30s-346601
4,11,H,H,2,0,2025-05-30--16h-32m-30s-346601
4,10,H,H,2,0,2025-05-30--16h-32m-30s-346601
4,7,H,H,2,0,2025-05-30--16h-32m-30s-346601
7,9,H,H,2,0,2025-05-30--16h-32m-30s-346601
7,12,H,H,2,0,2025-05-30--16h-32m-30s-346601
7,11,H,H,2,0,2025-05-30--16h-32m-30s-346601
7,10,H,H,2,0,2025-05-30--16h-32m-30s-346601
2,9,H,H,2,0,2025-05-30--16h-32m-30s-346601
2,12,H,H,2,0,2025-05-30--16h-32m-30s-346601
2,11,H,H,2,0,2025-05-30--16h-32m-30s-346601
2,10,H,H,2,0,2025-05-30--16h-32m-30s-346601
2,4,H,H,2,0,2025-05-30--16h-32m-30s-346601
2,7,H,H,2,0,2025-05-30--16h-32m-30s-346601
9,12,H,H,3,1,2025-05-30--16h-32m-30s-356174
9,11,H,H,3,0,2025-05-30--16h-32m-30s-356174
9,10,H,H,3,0,2025-05-30--16h-32m-30s-356174
11,12,H,H,3,0,2025-05-30--16h-32m-30s-356174
10,12,H,H,3,0,2025-05-30--16h-32m-30s-356174
10,11,H,H,3,0,2025-05-30--16h-32m-30s-356174
1,9,H,H,3,0,2025-05-30--16h-32m-30s-356174
1,12,H,H,3,0,2025-05-30--16h-32m-30s-356174
1,11,H,H,3,0,2025-05-30--16h-32m-30s-356174
1,10,H,H,3,0,2025-05-30--16h-32m-30s-356174
1,4,H,H,3,0,2025-05-30--16h-32m-30s-356174
1,7,H,H,3,0,2025-05-30--16h-32m-30s-356174
1,2,H,H,3,0,2025-05-30--16h-32m-30s-356174
4,9,H,H,3,0,2025-05-30--16h-32m-30s-356174
4,12,H,H,3,0,2025-05-30--16h-32m-30s-356174
4,11,H,H,3,0,2025-05-30--16h-32m-30s-356174
4,10,H,H,3,0,2025-05-30--16h-32m-30s-356174
4,7,H,H,3,0,2025-05-30--16h-32m-30s-356174
7,9,H,H,3,0,2025-05-30--16h-32m-30s-356174
7,12,H,H,3,0,2025-05-30--16h-32m-30s-356174
7,11,H,H,3,0,2025-05-30--16h-32m-30s-356174
7,10,H,H,3,0,2025-05-30--16h-32m-30s-356174
2,9,H,H,3,0,2025-05-30--16h-32m-30s-356174
2,12,H,H,3,0,2025-05-30--16h-32m-30s-356174
2,11,H,H,3,0,2025-05-30--16h-32m-30s-356174
2,10,H,H,3,0,2025-05-30--16h-32m-30s-356174
2,4,H,H,3,0,2025-05-30--16h-32m-30s-356174
2,7,H,H,3,0,2025-05-30--16h-32m-30s-356174
9,12,H,H,4,0,2025-05-30--16h-32m-30s-363875
9,11,H,H,4,0,2025-05-30--16h-32m-30s-363875
9,10,H,H,4,0,2025-05-30--16h-32m-30s-363875
11,12,H,H,4,0,2025-05-30--16h-32m-30s-363875
10,12,H,H,4,0,2025-05-30--16h-32m-30s-363875
10,11,H,H,4,0,2025-05-30--16h-32m-30s-363875
1,9,H,H,4,0,2025-05-30--16h-32m-30s-363875
1,12,H,H,4,0,2025-05-30--16h-32m-30s-363875
1,11,H,H,4,0,2025-05-30--16h-32m-30s-363875
1,10,H,H,4,0,2025-05-30--16h-32m-30s-363875
1,4,H,H,4,0,2025-05-30--16h-32m-30s-363875
1,7,H,H,4,0,2025-05-30--16h-32m-30s-363875
1,2,H,H,4,0,2025-05-30--16h-32m-30s-363875
4,9,H,H,4,0,2025-05-30--16h-32m-30s-363875
4,12,H,H,4,0,2025-05-30--16h-32m-30s-363875
4,11,H,H,4,0,2025-05-30--16h-32m-30s-363875
4,10,H,H,4,0,2025-05-30--16h-32m-30s-363875
4,7,H,H,4,0,2025-05-30--16h-32m-30s-363875
7,9,H,H,4,0,2025-05-30--16h-32m-30s-363875
7,12,H,H,4,0,2025-05-30--16h-32m-30s-363875
7,11,H,H,4,0,2025-05-30--16h-32m-30s-363875
7,10,H,H,4,0,2025-05-30--16h-32m-30s-363875
2,9,H,H,4,0,2025-05-30--16h-32m-30s-363875
2,12,H,H,4,0,2025-05-30--16h-32m-30s-363875
2,11,H,H,4,0,2025-05-30--16h-32m-30s-363875
2,10,H,H,4,0,2025-05-30--16h-32m-30s-363875
2,4,H,H,4,0,2025-05-30--16h-32m-30s-363875
2,7,H,H,4,0,2025-05-30--16h-32m-30s-363875
9,12,H,V,2,0,2025-05-30--16h-32m-39s-936062
9,11,H,V,2,0,2025-05-30--16h-32m-39s-936062
9,10,H,V,2,0,2025-05-30--16h-32m-39s-936062
11,12,H,V,2,0,2025-05-30--16h-32m-39s-936062
10,12,H,V,2,0,2025-05-30--16h-32m-39s-936062
10,11,H,V,2,0,2025-05-30--16h-32m-39s-936062
1,9,H,V,2,0,2025-05-30--16h-32m-39s-936062
1,12,H,V,2,0,2025-05-30--16h-32m-39s-936062
1,11,H,V,2,0,2025-05-30--16h-32m-39s-936062
1,10,H,V,2,0,2025-05-30--16h-32m-39s-936062
1,4,H,V,2,0,2025-05-30--16h-32m-39s-936062
1,7,H,V,2,0,2025-05-30--16h-32m-39s-936062
1,2,H,V,2,0,2025-05-30--16h-32m-39s-936062
4,9,H,V,2,0,2025-05-30--16h-32m-39s-936062
4,12,H,V,2,0,2025-05-30--16h-32m-39s-936062
4,11,H,V,2,0,2025-05-30--16h-32m-39s-936062
4,10,H,V,2,0,2025-05-30--16h-32m-39s-936062
4,7,H,V,2,0,2025-05-30--16h-32m-39s-936062
7,9,H,V,2,0,2025-05-30--16h-32m-39s-936062
7,12,H,V,2,0,2025-05-30--16h-32m-39s-936062
7,11,H,V,2,0,2025-05-30--16h-32m-39s-936062
7,10,H,V,2,0,2025-05-30--16h-32m-39s-936062
2,9,H,V,2,0,2025-05-30--16h-32m-39s-936062
2,12,H,V,2,0,2025-05-30--16h-32m-39s-936062
2,11,H,V,2,0,2025-05-30--16h-32m-39s-936062
2,10,H,V,2,0,2025-05-30--16h-32m-39s-936062
2,4,H,V,2,0,2025-05-30--16h-32m-39s-936062
2,7,H,V,2,0,2025-05-30--16h-32m-39s-936062
9,12,H,V,3,0,2025-05-30--16h-32m-39s-943010
9,11,H,V,3,0,2025-05-30--16h-32m-39s-943010
9,10,H,V,3,0,2025-05-30--16h-32m-39s-943010
11,12,H,V,3,0,2025-05-30--16h-32m-39s-943010
10,12,H,V,3,0,2025-05-30--16h-32m-39s-943010
10,11,H,V,3,0,2025-05-30--16h-32m-39s-943010
1,9,H,V,3,0,2025-05-30--16h-32m-39s-943010
1,12,H,V,3,0,2025-05-30--16h-32m-39s-943010
1,11,H,V,3,0,2025-05-30--16h-32m-39s-943010
1,10,H,V,3,0,2025-05-30--16h-32m-39s-943010
1,4,H,V,3,0,2025-05-30--16h-32m-39s-943010
1,7,H,V,3,0,2025-05-30--16h-32m-39s-943010
1,2,H,V,3,0,2025-05-30--16h-32m-39s-943010
4,9,H,V,3,0,2025-05-30--16h-32m-39s-943010
4,12,H,V,3,0,2025-05-30--16h-32m-39s-943010
4,11,H,V,3,0,2025-05-30--16h-32m-39s-943010
4,10,H,V,3,0,2025-05-30--16h-32m-39s-943010
4,7,H,V,3,0,2025-05-30--16h-32m-39s-943010
7,9,H,V,3,0,2025-05-30--16h-32m-39s-943010
7,12,H,V,3,0,2025-05-30--16h-32m-39s-943010
7,11,H,V,3,0,2025-05-30--16h-32m-39s-943010
7,10,H,V,3,0,2025-05-30--16h-32m-39s-943010
2,9,H,V,3,0,2025-05-30--16h-32m-39s-943010
2,12,H,V,3,0,2025-05-30--16h-32m-39s-943010
2,11,H,V,3,0,2025-05-30--16h-32m-39s-943010
2,10,H,V,3,0,2025-05-30--16h-32m-39s-943010
2,4,H,V,3,0,2025-05-30--16h-32m-39s-943010
2,7,H,V,3,0,2025-05-30--16h-32m-39s-943010
9,12,H,V,4,0,2025-05-30--16h-32m-39s-949415
9,11,H,V,4,0,2025-05-30--16h-32m-39s-949415
9,10,H,V,4,0,2025-05-30--16h-32m-39s-949415
11,12,H,V,4,0,2025-05-30--16h-32m-39s-949415
10,12,H,V,4,0,2025-05-30--16h-32m-39s-949415
10,11,H,V,4,0,2025-05-30--16h-32m-39s-949415
1,9,H,V,4,0,2025-05-30--16h-32m-39s-949415
1,12,H,V,4,0,2025-05-30--16h-32m-39s-949415
1,11,H,V,4,0,2025-05-30--16h-32m-39s-949415
1,10,H,V,4,0,2025-05-30--16h-32m-39s-949415
1,4,H,V,4,0,2025-05-30--16h-32m-39s-949415
1,7,H,V,4,0,2025-05-30--16h-32m-39s-949415
1,2,H,V,4,0,2025-05-30--16h-32m-39s-949415
4,9,H,V,4,0,2025-05-30--16h-32m-39s-949415
4,12,H,V,4,0,2025-05-30--16h-32m-39s-949415
4,11,H,V,4,0,2025-05-30--16h-32m-39s-949415
4,10,H,V,4,0,2025-05-30--16h-32m-39s-949415
4,7,H,V,4,0,2025-05-30--16h-32m-39s-949415
7,9,H,V,4,0,2025-05-30--16h-32m-39s-949415
7,12,H,V,4,0,2025-05-30--16h-32m-39s-949415
7,11,H,V,4,0,2025-05-30--16h-32m-39s-949415
7,10,H,V,4,0,2025-05-30--16h-32m-39s-949415
2,9,H,V,4,0,2025-05-30--16h-32m-39s-949415
2,12,H,V,4,0,2025-05-30--16h-32m-39s-949415
2,11,H,V,4,0,2025-05-30--16h-32m-39s-949415
2,10,H,V,4,0,2025-05-30--16h-32m-39s-949415
2,4,H,V,4,0,2025-05-30--16h-32m-39s-949415
2,7,H,V,4,0,2025-05-30--16h-32m-39s-949415
9,12,V,V,2,0,2025-05-30--16h-32m-49s-516987
9,11,V,V,2,0,2025-05-30--16h-32m-49s-516987
9,10,V,V,2,0,2025-05-30--16h-32m-49s-516987
11,12,V,V,2,0,2025-05-30--16h-32m-49s-516987
10,12,V,V,2,0,2025-05-30--16h-32m-49s-516987
10,11,V,V,2,0,2025-05-30--16h-32m-49s-516987
1,9,V,V,2,0,2025-05-30--16h-32m-49s-516987
1,12,V,V,2,0,2025-05-30--16h-32m-49s-516987
1,11,V,V,2,0,2025-05-30--16h-32m-49s-516987
1,10,V,V,2,0,2025-05-30--16h-32m-49s-516987
