,Measurement Basis,TT,TR,RT,RR
0,H,45418,103104,62999,86901
1,D,140117,6051,159969,11135
2,R,72312,76881,127144,38084
3,V,100032,46954,124877,40196
4,A,5734,144413,18958,123507
5,L,75183,74523,53135,96766
