Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,66044,533,55682,322,121726,855
1,D,34248,31073,27552,27262,61800,58335
2,R,31378,33581,25307,29446,56685,63027
3,V,418,62983,520,52297,938,115280
4,A,31989,32223,26368,28331,58357,60554
5,L,35006,30298,28204,26952,63210,57250
