,Measurement Basis,TT,TR,RT,RR
0,H,66044,533,55682,322
1,D,34248,31073,27552,27262
2,R,31378,33581,25307,29446
3,V,418,62983,520,52297
4,A,31989,32223,26368,28331
5,L,35006,30298,28204,26952
