,Measurement Basis,TT,TR,RT,RR
0,H,6610,110973,7188,90834
1,D,79312,40106,80869,40837
2,R,77191,41458,98593,28166
3,V,110983,6332,128605,4884
4,A,39794,79612,59130,57213
5,L,42072,76349,42894,68486
