,Measurement Basis,TT,TR,RT,RR
0,H,32927,28759,29143,27195
1,D,61967,1268,55843,1086
2,R,24783,36899,35162,20740
3,V,29901,31551,31136,24862
4,A,1185,58814,1292,54045
5,L,38677,23840,21585,33823
