data_dir,C',SB,VV,HH,N
2025-06-18--17h-34m-40s,49.0,41.0,52.0,18.0,160.0
2025-06-18--17h-34m-40s,42.0,36.0,63.0,19.0,160.0
2025-06-18--17h-34m-40s,48.0,30.0,63.0,19.0,160.0
2025-06-18--17h-34m-40s,48.0,33.0,51.0,28.0,160.0
2025-06-18--17h-34m-40s,39.0,31.0,65.0,25.0,160.0
2025-06-18--17h-34m-40s,35.0,40.0,61.0,24.0,160.0
2025-06-18--17h-34m-40s,43.0,31.0,60.0,26.0,160.0
2025-06-18--17h-34m-40s,31.0,42.0,59.0,28.0,160.0
2025-06-18--17h-34m-40s,33.0,36.0,64.0,27.0,160.0
2025-06-18--17h-34m-40s,33.0,45.0,52.0,30.0,160.0
2025-06-18--17h-34m-40s,40.0,43.0,59.0,18.0,160.0
2025-06-18--17h-34m-40s,32.0,50.0,54.0,24.0,160.0
2025-06-18--17h-34m-40s,41.0,39.0,54.0,26.0,160.0
2025-06-18--17h-34m-40s,45.0,35.0,58.0,22.0,160.0
2025-06-18--17h-34m-40s,41.0,34.0,60.0,25.0,160.0
2025-06-18--17h-34m-40s,30.0,43.0,71.0,16.0,160.0
2025-06-18--17h-34m-40s,26.0,45.0,71.0,18.0,160.0
2025-06-18--17h-34m-40s,45.0,24.0,66.0,25.0,160.0
2025-06-18--17h-34m-40s,38.0,32.0,65.0,25.0,160.0
2025-06-18--17h-34m-40s,41.0,26.0,62.0,31.0,160.0
2025-06-18--17h-34m-40s,38.0,42.0,50.0,30.0,160.0
2025-06-18--17h-34m-40s,30.0,40.0,65.0,25.0,160.0
2025-06-18--17h-34m-40s,35.0,40.0,59.0,26.0,160.0
2025-06-18--17h-34m-40s,40.0,46.0,49.0,25.0,160.0
2025-06-18--17h-34m-40s,30.0,42.0,65.0,23.0,160.0
2025-06-18--17h-34m-40s,33.0,31.0,76.0,20.0,160.0
2025-06-18--17h-34m-40s,40.0,37.0,62.0,21.0,160.0
2025-06-18--17h-34m-40s,38.0,35.0,60.0,27.0,160.0
2025-06-18--17h-34m-40s,38.0,28.0,62.0,32.0,160.0
2025-06-18--17h-34m-40s,37.0,40.0,58.0,25.0,160.0
2025-06-18--17h-34m-40s,50.0,37.0,54.0,19.0,160.0
2025-06-18--17h-34m-40s,37.0,37.0,63.0,23.0,160.0
2025-06-18--17h-34m-40s,46.0,27.0,62.0,25.0,160.0
2025-06-18--17h-34m-40s,33.0,33.0,63.0,31.0,160.0
2025-06-18--17h-34m-40s,44.0,34.0,55.0,27.0,160.0
2025-06-18--17h-34m-40s,48.0,33.0,56.0,23.0,160.0
2025-06-18--17h-34m-40s,31.0,35.0,69.0,25.0,160.0
2025-06-18--17h-34m-40s,38.0,34.0,67.0,21.0,160.0
2025-06-18--17h-34m-40s,41.0,36.0,62.0,21.0,160.0
2025-06-18--17h-34m-40s,50.0,32.0,58.0,20.0,160.0
