,Measurement Basis,TT,TR,RT,RR
0,H,122212,22023,144047,21199
1,D,38287,110015,27083,115423
2,R,109655,37878,99446,58533
3,V,20807,127757,21184,116787
4,A,104040,40495,136939,25653
5,L,35155,112303,64735,84607
