Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,95833,446,134580,1097,230413,1543
1,D,49835,57698,64837,56462,114672,114160
2,R,48653,59743,63427,58529,112080,118272
3,V,260,116468,712,105567,972,222035
4,A,47242,59858,64177,56195,111419,116053
5,L,48420,58655,64949,55890,113369,114545
