,Measurement Basis,TT,TR,RT,RR
0,H,66670,58434,69085,46753
1,D,118283,7365,132593,1161
2,R,35580,90959,69246,49268
3,V,58679,66552,71342,45505
4,A,7212,119468,693,100637
5,L,90139,35614,64905,51872
