,Measurement Basis,TT,TR,RT,RR
0,H,3832,74184,5081,61029
1,D,48506,24070,60040,23381
2,R,39911,33437,62698,21347
3,V,65212,4341,88523,3421
4,A,20607,56124,33798,42295
5,L,29264,47185,33066,43875
