Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,33622,31565,34463,32067,68085,63632
1,D,40749,24775,53757,12096,94506,36871
2,R,1283,62373,8050,58423,9333,120796
3,V,33232,31857,33719,32238,66951,64095
4,A,26419,37568,11682,54332,38101,91900
5,L,65752,1247,56769,8219,122521,9466
