Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32518,29463,27117,28231,59635,57694
1,D,25147,36621,35668,20569,60815,57190
2,R,1071,59605,1542,53360,2613,112965
3,V,30509,31537,30418,25369,60927,56906
4,A,38378,23768,21458,34021,59836,57789
5,L,62065,1227,55450,1141,117515,2368
