,Measurement Basis,TT,TR,RT,RR
0,H,33961,28016,29624,26105
1,D,61806,1123,54542,1303
2,R,25571,35997,35691,20020
3,V,29468,32528,29963,25868
4,A,1032,59223,1469,53992
5,L,37892,24344,20745,34712
