,Measurement Basis,TT,TR,RT,RR
0,H,395,63142,454,64643
1,D,34472,31467,34038,30342
2,R,34972,31149,35487,29204
3,V,67062,503,64698,360
4,A,32670,32140,32196,32325
5,L,32884,32634,32458,32711
