data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-06-23--19h-21m-44s,0.0,0.0,13.0,27.0,40.0,2.3117610289979167,,0.0
2025-06-23--19h-21m-44s,0.0,4.0,9.0,27.0,40.0,2.183400474843519,,0.0
2025-06-23--19h-21m-44s,1.0,3.0,11.0,25.0,40.0,2.15316056466364,0.2745915591600324,0.2745915591600324
2025-06-23--19h-21m-44s,0.0,2.0,13.0,25.0,40.0,2.183400474843519,,0.0
2025-06-23--19h-21m-44s,0.0,4.0,9.0,27.0,40.0,2.183400474843519,,0.0
2025-06-23--19h-21m-44s,0.0,2.0,16.0,22.0,40.0,2.0943951023931957,,0.0
2025-06-23--19h-21m-44s,0.0,2.0,18.0,20.0,40.0,2.037561665842193,,0.0
2025-06-23--19h-21m-44s,0.0,0.0,13.0,27.0,40.0,2.3117610289979167,,0.0
2025-06-23--19h-21m-44s,0.0,2.0,16.0,22.0,40.0,2.0943951023931957,,0.0
2025-06-23--19h-21m-44s,0.0,3.0,10.0,27.0,40.0,2.214297435588181,,0.0
2025-06-23--19h-21m-44s,0.0,1.0,15.0,24.0,40.0,2.183400474843519,,0.0
2025-06-23--19h-21m-44s,0.0,1.0,15.0,24.0,40.0,2.183400474843519,,0.0
2025-06-23--19h-21m-44s,1.0,1.0,13.0,25.0,40.0,2.214297435588181,0.25027239462116396,0.25027239462116396
2025-06-23--19h-21m-44s,1.0,2.0,15.0,22.0,40.0,2.0943951023931957,0.23051048628331808,0.23051048628331808
2025-06-23--19h-21m-44s,0.0,1.0,16.0,23.0,40.0,2.15316056466364,,0.0
2025-06-23--19h-21m-44s,0.0,2.0,16.0,22.0,40.0,2.0943951023931957,,0.0
2025-06-23--19h-21m-44s,0.0,3.0,13.0,24.0,40.0,2.12351143989168,,0.0
2025-06-23--19h-21m-44s,0.0,3.0,11.0,26.0,40.0,2.183400474843519,,0.0
2025-06-23--19h-21m-44s,0.0,3.0,7.0,30.0,40.0,2.3117610289979167,,0.0
