,Measurement Basis,TT,TR,RT,RR
0,H,32881,32008,32580,32607
1,D,25794,38436,11717,54256
2,R,65568,1322,57057,8211
3,V,33866,31147,30697,34851
4,A,40303,24838,53085,11858
5,L,1152,62137,8299,58193
