data_dir,C,SB,DB_V,DB_H,N
2025-06-19--18h-13m-01s,14.0,18.0,3.0,125.0,160.0
2025-06-19--18h-13m-01s,25.0,20.0,4.0,111.0,160.0
2025-06-19--18h-13m-01s,16.0,34.0,3.0,107.0,160.0
2025-06-19--18h-13m-01s,15.0,29.0,3.0,113.0,160.0
2025-06-19--18h-13m-01s,6.0,33.0,7.0,114.0,160.0
2025-06-19--18h-13m-01s,8.0,19.0,3.0,130.0,160.0
2025-06-19--18h-13m-01s,11.0,26.0,3.0,120.0,160.0
2025-06-19--18h-13m-01s,15.0,21.0,3.0,121.0,160.0
2025-06-19--18h-13m-01s,25.0,23.0,2.0,110.0,160.0
2025-06-19--18h-13m-01s,12.0,22.0,3.0,123.0,160.0
2025-06-19--18h-13m-01s,11.0,27.0,4.0,118.0,160.0
2025-06-19--18h-13m-01s,13.0,27.0,2.0,118.0,160.0
2025-06-19--18h-13m-01s,11.0,27.0,4.0,118.0,160.0
2025-06-19--18h-13m-01s,12.0,31.0,5.0,112.0,160.0
2025-06-19--18h-13m-01s,15.0,31.0,1.0,113.0,160.0
2025-06-19--18h-13m-01s,15.0,30.0,6.0,109.0,160.0
2025-06-19--18h-13m-01s,14.0,34.0,4.0,108.0,160.0
2025-06-19--18h-13m-01s,19.0,31.0,4.0,106.0,160.0
2025-06-19--18h-13m-01s,13.0,19.0,5.0,123.0,160.0
2025-06-19--18h-13m-01s,14.0,29.0,6.0,111.0,160.0
2025-06-19--18h-13m-01s,18.0,31.0,2.0,109.0,160.0
2025-06-19--18h-13m-01s,18.0,21.0,5.0,116.0,160.0
2025-06-19--18h-13m-01s,10.0,31.0,6.0,113.0,160.0
2025-06-19--18h-13m-01s,10.0,27.0,0.0,123.0,160.0
2025-06-19--18h-13m-01s,12.0,26.0,3.0,119.0,160.0
2025-06-19--18h-13m-01s,21.0,23.0,4.0,112.0,160.0
2025-06-19--18h-13m-01s,12.0,21.0,3.0,124.0,160.0
2025-06-19--18h-13m-01s,16.0,26.0,5.0,113.0,160.0
2025-06-19--18h-13m-01s,10.0,30.0,4.0,116.0,160.0
2025-06-19--18h-13m-01s,12.0,24.0,0.0,124.0,160.0
2025-06-19--18h-13m-01s,11.0,20.0,6.0,123.0,160.0
2025-06-19--18h-13m-01s,21.0,20.0,3.0,116.0,160.0
2025-06-19--18h-13m-01s,17.0,27.0,4.0,112.0,160.0
2025-06-19--18h-13m-01s,10.0,17.0,7.0,126.0,160.0
2025-06-19--18h-13m-01s,14.0,27.0,4.0,115.0,160.0
2025-06-19--18h-13m-01s,11.0,25.0,3.0,121.0,160.0
2025-06-19--18h-13m-01s,13.0,23.0,1.0,123.0,160.0
2025-06-19--18h-13m-01s,15.0,32.0,4.0,109.0,160.0
2025-06-19--18h-13m-01s,14.0,19.0,3.0,124.0,160.0
2025-06-19--18h-13m-01s,17.0,24.0,3.0,116.0,160.0
2025-06-19--18h-13m-01s,16.0,25.0,2.0,117.0,160.0
2025-06-19--18h-13m-01s,17.0,31.0,1.0,111.0,160.0
2025-06-19--18h-13m-01s,16.0,29.0,1.0,114.0,160.0
2025-06-19--18h-13m-01s,15.0,29.0,4.0,112.0,160.0
2025-06-19--18h-13m-01s,19.0,26.0,2.0,113.0,160.0
2025-06-19--18h-13m-01s,16.0,19.0,6.0,119.0,160.0
2025-06-19--18h-13m-01s,12.0,24.0,3.0,121.0,160.0
2025-06-19--18h-13m-01s,14.0,18.0,0.0,128.0,160.0
2025-06-19--18h-13m-01s,9.0,28.0,1.0,122.0,160.0
2025-06-19--18h-13m-01s,15.0,24.0,4.0,117.0,160.0
2025-06-19--18h-13m-01s,16.0,20.0,3.0,121.0,160.0
2025-06-19--18h-13m-01s,11.0,28.0,5.0,116.0,160.0
2025-06-19--18h-13m-01s,13.0,26.0,1.0,120.0,160.0
2025-06-19--18h-13m-01s,15.0,33.0,3.0,109.0,160.0
2025-06-19--18h-13m-01s,14.0,19.0,5.0,122.0,160.0
2025-06-19--18h-13m-01s,15.0,20.0,2.0,123.0,160.0
