angle,singles,coincidences
0.0,1185.0,14
9.0,2642.0,287
18.0,7581.0,1358
27.0,13758.0,2656
36.0,18971.0,3767
45.0,21242.0,4413
54.0,20112.0,4143
63.0,15715.0,3102
72.0,9709.0,1776
81.0,3933.0,536
90.0,1176.0,14
99.0,2850.0,307
108.0,7654.0,1368
117.0,14015.0,2609
126.0,18993.0,3817
135.0,20696.0,4337
144.0,19772.0,4022
153.0,15768.0,3060
162.0,9469.0,1703
171.0,3997.0,540
180.0,1327.0,14
-3.5886972802340864,1450.0,32
-2.5886972802340864,1576.0,80
-1.5886972802340864,1452.0,51
-0.5886972802340864,1221.0,24
0.4113027197659136,1198.0,5
1.4113027197659136,1230.0,6
2.4113027197659136,1158.0,8
3.4113027197659136,1442.0,28
4.411302719765914,1495.0,43
5.411302719765914,1555.0,99
6.411302719765914,2031.0,120
41.411302719765914,20387.0,4263
43.07796938643258,20687.0,4366
44.74463605309925,20577.0,4284
46.411302719765914,20992.0,4268
48.07796938643258,21191.0,4474
49.74463605309925,20990.0,4395
51.411302719765914,20468.0,4088
