,Measurement Basis,TT,TR,RT,RR
0,H,120720,23321,150435,20015
1,D,109357,35891,105501,56356
2,R,107000,37943,142543,26780
3,V,22885,124036,31664,111765
4,A,33722,112717,70622,84347
5,L,35525,111216,30730,115458
