,Measurement Basis,TT,TR,RT,RR
0,H,131322,533,130353,1147
1,D,65061,67694,60776,53471
2,R,66299,67067,60587,54228
3,V,296,132094,671,95424
4,A,65750,66206,65395,50499
5,L,65970,67976,63782,51757
