,Measurement Basis,TT,TR,RT,RR
0,H,32282,29056,27487,28084
1,D,24481,36903,35649,20380
2,R,1057,59716,1543,53317
3,V,30532,31320,30836,25132
4,A,37919,23361,21596,33891
5,L,61821,1163,54917,1175
