Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,110951,1100,132071,916,243022,2016
1,D,57211,55804,62804,55422,120015,111226
2,R,55927,57207,60928,57607,116855,114814
3,V,857,112357,581,101629,1438,213986
4,A,54183,58000,63353,55189,117536,113189
5,L,55865,56896,63603,54862,119468,111758
