detector_a_name,detector_b_name,tomography_setting_a,tomography_setting_b,repetition,coincidences,timestamp,tomography_setting_t,tomography_setting_r
9,12,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
9,11,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
9,10,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
11,12,,,0,1,2025-05-28--14h-13m-46s-818449,H,H
10,12,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
10,11,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
1,9,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
1,12,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
1,11,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
1,10,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
1,4,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
1,7,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
1,2,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
4,9,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
4,12,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
4,11,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
4,10,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
4,7,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
7,9,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
7,12,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
7,11,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
7,10,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
2,9,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
2,12,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
2,11,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
2,10,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
2,4,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
2,7,,,0,0,2025-05-28--14h-13m-46s-818449,H,H
9,12,,,1,0,2025-05-28--14h-13m-46s-846691,H,H
9,11,,,1,1,2025-05-28--14h-13m-46s-846691,H,H
9,10,,,1,1,2025-05-28--14h-13m-46s-846691,H,H
11,12,,,1,0,2025-05-28--14h-13m-46s-846691,H,H
10,12,,,1,0,2025-05-28--14h-13m-46s-846691,H,H
10,11,,,1,0,2025-05-28--14h-13m-46s-846691,H,H
1,9,,,1,0,2025-05-28--14h-13m-46s-846691,H,H
